,Unnamed: 0,scenario,mmsi,ship_type,width,length,draught,nav_status,timestamp,lat,lon,sog,cog,timestamp_obj,ts_mmsi,R_x,R_y,theta,V_x,V_y,lat_ts,lon_ts,sog_ts,cog_ts,f_min,DDV,TDV,V_TDV,V_chg,cog_TDV,cog_chg,theta_rad,distance,ts_dot,DDV_dot,cog_dot,sog_dot,distance_dot
11,11,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976710.0,56.126759,11.0952434,11.6,2.0699999999998795,2020-01-02 15:51:50,232003642,4.073575025341238,-0.3066915863787989,-179.2922222222221,-38.84299000947407,-1.6057735337652386,56.19451455555555,11.08609388888889,8.4,182.7777777777778,0.7591381821463118,0.2408618178536882,0.0987794038700565,11.5,-0.0086206896551723,1.0955837349999062,-0.9744162649999732,-3.12923960099512,4.085103819517861,10.0,-0.026617477658082977,0.09727272727275249,0.0,-0.056699796922693224
12,12,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976720.0,56.127282,11.095279,11.566666666666666,1.9999999999998863,2020-01-02 15:52:00,232003642,4.02025636711142,-0.3082595152824888,-179.91999999999985,-38.78764018667465,-1.377306730386112,56.1941507,11.0860828,8.4,182.08,0.7191137632867086,0.2808862367132914,0.0978051428603005,11.5,-0.0057636887608068,1.0244305466665755,-0.9755694533333106,-3.140196390188195,4.032057190326311,10.0,0.04002441885960317,-0.06999999999999318,-0.033333333333333215,-0.05304662919154968
13,13,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976730.0,56.1278112,11.0953114,11.5,1.9999999999998863,2020-01-02 15:52:10,232003642,3.9631353521530057,-0.3098283059667107,179.0100000000001,-38.666350954631646,-1.0679681414113704,56.1937298,11.0860685,8.4,181.01,0.665257854434988,0.334742145565012,0.0969081138773089,11.5,0.0,0.9957063818180786,-1.0042936181818076,3.124313893995051,3.975227716579659,10.0,0.05385590885172059,0.0,-0.06666666666666643,-0.05682947374665215
14,14,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976740.0,56.1283408,11.0953426,11.5,1.9599999999998656,2020-01-02 15:52:20,232003642,3.909567482109651,-0.3110781995189813,179.0300000000002,-38.66698963088396,-1.046672493991995,56.1933684,11.0860625,8.4,180.99,0.6617743940025987,0.3382256059974012,0.0955768509364369,11.5,0.0,0.913081888181714,-1.0469181118181514,3.124662959845452,3.9219239594088466,10.0,0.0034834604323892293,-0.040000000000020686,0.0,-0.05330375717081237
15,15,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976750.0,56.12887422222222,11.095371666666669,11.5,1.8555555555554408,2020-01-02 15:52:30,232003642,3.854146491394709,-0.3120389349860922,178.74444444444453,-38.66988831544562,-0.8948133503111799,56.19298,11.086063,8.4,180.6,0.6366150907446358,0.3633849092553641,0.0943637492104351,11.5,0.0,0.8055459663635339,-1.050009589191907,3.1196790752036434,3.866757488397404,10.0,0.025159303257962895,-0.1044444444444248,0.0,-0.055166471011442564
16,16,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976760.0,56.12939658333333,11.095399583333334,11.5,1.7999999999998977,2020-01-02 15:52:40,232003642,3.799945711048524,-0.3136203241220615,179.38333333333344,-38.66799266061141,-1.0393680595121133,56.19260083333334,11.086043833333331,8.4,181.1833333333333,0.6619773738846035,0.3380226261153964,0.0928855938029696,11.5,0.0,0.7999999999998977,-1.0,3.1308297898691633,3.8128657351942645,10.0,-0.02536228313996769,-0.055555555555543146,0.0,-0.05389175320313955
17,17,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976770.0,56.1299297,11.0954262,11.5,1.769999999999868,2020-01-02 15:52:50,232003642,3.74452381246718,-0.3152997814593321,179.44111111111124,-38.66819184913491,-1.0355835534658095,56.19221211111111,11.086020444444443,8.4,181.2111111111111,0.6620434900790126,0.3379565099209873,0.0914778039385681,11.5,0.0,0.7999999999998977,-0.9699999999999702,3.1318382023258717,3.7577749446077853,10.0,-6.611619440910488e-05,-0.03000000000002978,0.0,-0.055090790586479255
18,18,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976780.0,56.13050466666667,11.095461333333333,11.5,1.699999999999875,2020-01-02 15:53:00,232003642,3.6868811583028354,-0.3173168766366552,179.68000000000006,-38.84282577986541,-1.0606165707409374,56.1918283,11.0859955,8.49,181.38,0.6670050905731182,0.3329949094268818,0.089621249012649,11.5,0.0,0.7999999999998977,-0.8999999999999773,3.1360075999834125,3.70051113707916,10.0,-0.004961600494105489,-0.06999999999999296,0.0,-0.057263807528625144
19,19,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976790.0,56.131046,11.0954812,11.5,1.6199999999998909,2020-01-02 15:53:10,232003642,3.629956449127828,-0.3182208662781953,179.33000000000015,-38.865683909069546,-0.9059100598449082,56.1914228,11.0859885,8.5,180.95,0.6422469677507172,0.3577530322492828,0.0882941958486863,11.5,0.0,0.7999999999998977,-0.8199999999999932,3.129898947601434,3.643878200804681,10.0,0.024758122822400974,-0.07999999999998408,0.0,-0.056632936274479295
20,20,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976800.0,56.131582,11.0955068,11.5,1.3799999999998818,2020-01-02 15:53:20,232003642,3.5757993423426147,-0.3191893482485756,178.71000000000015,-38.87038578920187,-0.5643150376268804,56.191058,11.0859853,8.5,180.09,0.5911930511589255,0.4088069488410745,0.0873374245256329,11.5,0.0,0.8802677818180819,-0.4997322181817999,3.119077906239069,3.5900170997828447,10.0,0.051053916591791704,-0.2400000000000091,0.0,-0.053861101021836166
