,index,Unnamed: 0.1,Unnamed: 0,scenario,mmsi,ship_type,width,length,draught,nav_status,timestamp,lat,lon,sog,cog,timestamp_obj,ts_mmsi,R_x,R_y,theta,V_x,V_y,lat_ts,lon_ts,sog_ts,cog_ts,f_min,DDV,TDV,V_TDV,V_chg,cog_TDV,cog_chg,theta_rad,distance,ts_dot,DDV_dot,cog_dot,sog_dot,distance_dot,u,u^2,cte
0,582,709,709,466fbc3092,356234000,Cargo,61.0,399.0,12.1,0,1577929210.0,55.94933085714286,11.000899285714285,15.6,28.828571428571426,2020-01-02 02:40:10,257182000,7.159174710196575,3.762535866602524,177.57142857142856,-61.56241277859768,-31.994398247742048,56.068362,11.11278,20.1,206.4,0.040370777580264,0.959629222419736,0.1169561544806788,16.1,0.0320512820512821,35.22406354,6.39549211142857,3.099206086041359,8.087673254934858,10.0,-0.0279855962862072,-0.7714285714285971,0.0,-0.0950072568795317,-0.7714285714285971,0.5951020408163662,0.0
1,583,712,712,466fbc3092,356234000,Cargo,61.0,399.0,12.1,0,1577929220.0,55.9500135,11.00156,15.6,28.350000000000023,2020-01-02 02:40:20,257182000,7.062787420197821,3.713020205262732,177.64999999999998,-61.80404536837887,-31.52725217969236,56.06744271428572,11.111965714285716,20.1,206.0,0.1073821184676055,0.8926178815323944,0.1160268521323141,16.1,0.0320512820512821,36.65478361999998,8.30478361999996,3.1005774161679263,7.979316085203912,10.0,-0.0670113408873416,-0.4785714285714029,0.0,-0.1083571697309455,-0.4785714285714029,0.22903061224487337,11.868524599642699
2,584,715,715,466fbc3092,356234000,Cargo,61.0,399.0,12.1,0,1577929230.0,55.9505855,11.0021025,15.6,27.88333333333333,2020-01-02 02:40:30,257182000,6.978207483376127,3.669820766582964,178.54999999999995,-61.7898995483623,-31.57451566720349,56.066609,11.111221333333331,20.1,206.4333333333333,0.1024490652203866,0.8975509347796133,0.1145962911229981,16.074533520000003,0.0304188153846155,37.72299579999998,9.839662466666647,3.1162853794358747,7.884349316201696,10.0,0.0049330532472189,-0.4666666666666934,0.0,-0.094966769002216,-0.4666666666666934,0.21777777777780272,22.27730235366038
3,585,718,718,466fbc3092,356234000,Cargo,61.0,399.0,12.1,0,1577929240.0,55.95127716666666,11.002749166666666,15.6,27.46666666666664,2020-01-02 02:40:40,257182000,6.886762809082147,3.62261751539302,179.96190476190486,-61.58494285287921,-31.98428970257857,56.065780857142855,11.110462142857145,20.1,207.42857142857144,0.0457515383809134,0.9542484616190866,0.1125674522695056,16.04757172,0.0286904948717949,38.329636299999976,10.862969633333336,3.140927766255702,7.781443288451656,10.0,0.0566975268394732,-0.4166666666666891,0.0,-0.1029060277500404,-0.4166666666666891,0.1736111111111298,35.25277235697415
4,586,721,721,466fbc3092,356234000,Cargo,61.0,399.0,12.1,0,1577929250.0,55.951906,11.003337333333333,15.633333333333333,27.433333333333337,2020-01-02 02:40:50,257182000,6.799576495866194,3.576595853597608,-178.76666666666665,-61.253604309770736,-32.74360127619312,56.06496066666666,11.109679666666668,20.1,208.66666666666663,0.0276975218556747,0.9723024781443252,0.1100546371418983,16.03803306,0.025886976119403,38.54425614999997,11.110922816666635,-3.120066926148529,7.682856137082589,10.0,0.0180540165252386,-0.033333333333303,0.0333333333333332,-0.0985871513690668,-0.033333333333303,0.001111111111109089,47.03974170757675
5,587,724,724,466fbc3092,356234000,Cargo,61.0,399.0,12.1,0,1577929260.0,55.952508,11.00389,15.7,27.19999999999999,2020-01-02 02:41:00,257182000,6.714397582003015,3.5312835450189697,-178.01428571428573,-61.18172603847958,-32.96204830888951,56.064147,11.108882857142858,20.057142857142857,209.18571428571428,0.0412462263378868,0.9587537736621132,0.1083370139608157,16.0,0.0191082802547771,39.39999999999998,12.199999999999989,-3.106935401300192,7.58637583860236,10.0,-0.013548704482212,-0.2333333333333485,0.0666666666666664,-0.0964802984802286,-0.2333333333333485,0.05444444444445152,58.75746203435284
6,588,727,727,466fbc3092,356234000,Cargo,61.0,399.0,12.1,0,1577929270.0,55.953178,11.004496428571429,15.7,26.828571428571426,2020-01-02 02:41:10,257182000,6.630222389416072,3.486472601590572,-177.52857142857147,-61.13673002732175,-32.79929217457139,56.063418,11.108155,20.0,209.3,0.0340893175481252,0.9659106824518748,0.107290819701924,16.0,0.0191082802547771,40.55568593499999,13.727114506428569,-3.098458087790505,7.491017296386111,10.0,0.0071569087897616,-0.371428571428563,0.0,-0.0953585422162488,-0.371428571428563,0.13795918367346313,72.16020171301405
7,589,730,730,466fbc3092,356234000,Cargo,61.0,399.0,12.1,0,1577929280.0,55.95387828571429,11.005130428571428,15.742857142857142,26.81428571428569,2020-01-02 02:41:20,257182000,6.536183109088114,3.436176565170195,-177.61428571428564,-61.24766762973072,-32.770880204510696,56.062555333333336,11.107291333333333,20.0,209.2,0.0294914155756892,0.9705085844243108,0.1057173668668253,16.0,0.0163339382940109,41.25,14.435714285714312,-3.099954084292213,7.384375330558003,10.0,0.0045979019724359,-0.0142857142857373,0.0428571428571427,-0.1066419658281088,-0.0142857142857373,0.00020408163265371877,86.16263706124708
8,590,733,733,466fbc3092,356234000,Cargo,61.0,399.0,12.1,0,1577929290.0,55.95447866666667,11.005673833333333,15.8,26.80000000000001,2020-01-02 02:41:30,257182000,6.449819981893952,3.389685488247246,-177.39999999999998,-61.28384219989769,-32.9324971785664,56.06172033333333,11.106450333333331,20.0,209.4,0.036879650659074,0.963120349340926,0.103995496941769,16.04383789,0.0154327778481011,41.88564940500002,15.085649405000003,-3.0962140930379403,7.286298477833067,10.0,-0.0073882350833847,-0.0142857142856769,0.0571428571428587,-0.0980768527249358,-0.0142857142856769,0.00020408163265199308,98.17396929619125
9,591,736,736,466fbc3092,356234000,Cargo,61.0,399.0,12.1,0,1577929300.0,55.955191166666665,11.0063155,15.8,26.71666666666664,2020-01-02 02:41:40,257182000,6.358257037318745,3.340878076892394,-177.41666666666663,-61.337211515387054,-32.83346736486024,56.060911,11.105638857142855,20.0,209.3,0.0303456437235366,0.9696543562764632,0.1026348350350833,16.094854060000003,0.0186616493670887,42.62538387000004,15.908717203333405,-3.0965049812466057,7.182541254825729,10.0,0.0065340069355371,-0.0833333333333712,0.0,-0.1037572230073378,-0.0833333333333712,0.006944444444450756,112.56285769508139
